temperature_degree_c,season,fishing_zone,fish_species_1,fish_species_2
14.7,Fall,Zone A,Sea Bass,Atlantic Salmon
19.0,Summer,Zone B,Haddock,Mackerel
8.2,Winter,Zone A,Smelt,Cod
24.7,Summer,Zone C,Mackerel,Haddock
18.4,Summer,Zone B,Mackerel,Pollock
5.3,Winter,Zone A,Cod,Smelt
16.2,Fall,Zone B,Atlantic Salmon,Sea Bass
16.9,Spring,Zone B,Herring,Flounder
16.3,Spring,Zone B,Flounder,Cod
5.2,Winter,Zone A,Redfish,Smelt
23.1,Summer,Zone C,Mackerel,Pollock
12.2,Fall,Zone A,Atlantic Salmon,Halibut
12.0,Spring,Zone A,Herring,Cod
21.2,Summer,Zone C,Mackerel,Haddock
15.3,Fall,Zone B,Sea Bass,Atlantic Salmon
18.5,Fall,Zone B,Sea Bass,Atlantic Salmon
17.6,Spring,Zone B,Cod,Flounder
5.1,Winter,Zone A,Cod,Redfish
12.8,Fall,Zone A,Sea Bass,Atlantic Salmon
12.9,Fall,Zone A,Sea Bass,Atlantic Salmon
22.9,Summer,Zone C,Mackerel,Pollock
7.0,Winter,Zone A,Cod,Smelt
22.1,Summer,Zone C,Mackerel,Pollock
10.8,Spring,Zone A,Flounder,Herring
18.1,Summer,Zone B,Pollock,Haddock
9.5,Winter,Zone A,Smelt,Redfish
16.5,Fall,Zone B,Halibut,Atlantic Salmon
8.5,Winter,Zone A,Smelt,Cod
18.4,Summer,Zone B,Mackerel,Pollock
18.8,Summer,Zone B,Pollock,Haddock
24.5,Summer,Zone C,Mackerel,Haddock
12.4,Spring,Zone A,Herring,Cod
7.3,Winter,Zone A,Smelt,Cod
14.6,Fall,Zone A,Atlantic Salmon,Sea Bass
21.2,Summer,Zone C,Pollock,Mackerel
17.4,Fall,Zone B,Halibut,Sea Bass
16.8,Spring,Zone B,Flounder,Herring
6.7,Winter,Zone A,Cod,Redfish
13.9,Spring,Zone A,Flounder,Herring
20.0,Summer,Zone B,Haddock,Mackerel
12.8,Fall,Zone A,Halibut,Atlantic Salmon
18.2,Summer,Zone B,Haddock,Pollock
7.7,Winter,Zone A,Smelt,Cod
14.9,Spring,Zone A,Cod,Flounder
6.4,Winter,Zone A,Cod,Smelt
23.8,Summer,Zone C,Haddock,Mackerel
8.2,Winter,Zone A,Cod,Smelt
17.7,Spring,Zone B,Flounder,Cod
6.3,Winter,Zone A,Smelt,Redfish
16.7,Spring,Zone B,Flounder,Herring
17.6,Fall,Zone B,Halibut,Sea Bass
19.9,Summer,Zone B,Pollock,Haddock
13.2,Spring,Zone A,Flounder,Herring
6.6,Winter,Zone A,Cod,Smelt
18.8,Summer,Zone B,Haddock,Pollock
10.4,Spring,Zone A,Flounder,Herring
10.9,Spring,Zone A,Flounder,Herring
20.6,Summer,Zone C,Mackerel,Haddock
18.7,Fall,Zone B,Halibut,Atlantic Salmon
17.1,Spring,Zone B,Flounder,Cod
17.3,Fall,Zone B,Halibut,Atlantic Salmon
10.3,Spring,Zone A,Flounder,Cod
20.0,Fall,Zone B,Halibut,Atlantic Salmon
6.6,Winter,Zone A,Redfish,Cod
19.7,Fall,Zone B,Halibut,Sea Bass
7.9,Winter,Zone A,Cod,Smelt
22.7,Summer,Zone C,Haddock,Mackerel
8.3,Winter,Zone A,Smelt,Cod
17.3,Spring,Zone B,Cod,Herring
13.6,Spring,Zone A,Cod,Herring
7.2,Winter,Zone A,Cod,Smelt
12.3,Fall,Zone A,Halibut,Atlantic Salmon
8.1,Winter,Zone A,Redfish,Cod
12.3,Fall,Zone A,Sea Bass,Atlantic Salmon
19.1,Summer,Zone B,Pollock,Haddock
5.2,Winter,Zone A,Cod,Smelt
15.2,Fall,Zone B,Halibut,Atlantic Salmon
19.1,Fall,Zone B,Sea Bass,Halibut
22.4,Summer,Zone C,Pollock,Mackerel
12.5,Spring,Zone A,Flounder,Herring
18.1,Summer,Zone B,Mackerel,Pollock
13.9,Spring,Zone A,Herring,Cod
25.0,Summer,Zone C,Haddock,Pollock
4.7,Winter,Zone A,Smelt,Cod
15.1,Fall,Zone B,Sea Bass,Halibut
20.9,Summer,Zone C,Pollock,Mackerel
12.9,Fall,Zone A,Halibut,Sea Bass
22.1,Summer,Zone C,Haddock,Mackerel
19.9,Fall,Zone B,Sea Bass,Atlantic Salmon
14.9,Spring,Zone A,Herring,Flounder
13.4,Fall,Zone A,Sea Bass,Atlantic Salmon
22.3,Summer,Zone C,Mackerel,Haddock
5.5,Winter,Zone A,Smelt,Redfish
15.5,Fall,Zone B,Sea Bass,Atlantic Salmon
23.0,Summer,Zone C,Mackerel,Pollock
23.9,Summer,Zone C,Pollock,Haddock
18.3,Fall,Zone B,Atlantic Salmon,Halibut
12.4,Spring,Zone A,Herring,Flounder
19.3,Fall,Zone B,Sea Bass,Atlantic Salmon
18.1,Fall,Zone B,Sea Bass,Halibut
19.6,Fall,Zone B,Halibut,Atlantic Salmon
19.4,Fall,Zone B,Atlantic Salmon,Sea Bass
4.9,Winter,Zone A,Cod,Redfish
13.5,Spring,Zone A,Cod,Herring
8.6,Winter,Zone A,Cod,Redfish
23.9,Summer,Zone C,Haddock,Mackerel
24.8,Summer,Zone C,Mackerel,Pollock
19.8,Summer,Zone B,Pollock,Mackerel
19.2,Summer,Zone B,Mackerel,Haddock
13.0,Spring,Zone A,Cod,Flounder
18.4,Fall,Zone B,Atlantic Salmon,Sea Bass
19.8,Fall,Zone B,Halibut,Sea Bass
12.2,Fall,Zone A,Atlantic Salmon,Halibut
12.3,Fall,Zone A,Atlantic Salmon,Sea Bass
14.1,Fall,Zone A,Atlantic Salmon,Sea Bass
8.9,Winter,Zone A,Redfish,Smelt
9.7,Winter,Zone A,Cod,Smelt
22.1,Summer,Zone C,Mackerel,Pollock
12.2,Spring,Zone A,Flounder,Cod
19.0,Summer,Zone B,Pollock,Mackerel
16.4,Spring,Zone B,Flounder,Herring
24.7,Summer,Zone C,Pollock,Haddock
14.3,Fall,Zone A,Halibut,Atlantic Salmon
20.1,Summer,Zone C,Mackerel,Haddock
17.2,Spring,Zone B,Herring,Cod
13.9,Spring,Zone A,Cod,Herring
17.4,Fall,Zone B,Sea Bass,Atlantic Salmon
5.9,Winter,Zone A,Redfish,Cod
10.3,Spring,Zone A,Cod,Herring
4.3,Winter,Zone A,Smelt,Cod
18.4,Summer,Zone B,Mackerel,Haddock
13.1,Spring,Zone A,Cod,Herring
21.5,Summer,Zone C,Mackerel,Pollock
12.4,Spring,Zone A,Herring,Cod
15.8,Spring,Zone B,Cod,Herring
14.7,Fall,Zone A,Sea Bass,Atlantic Salmon
14.3,Fall,Zone A,Sea Bass,Atlantic Salmon
18.9,Fall,Zone B,Atlantic Salmon,Sea Bass
7.2,Winter,Zone A,Redfish,Smelt
9.9,Winter,Zone A,Redfish,Cod
17.5,Spring,Zone B,Flounder,Cod
15.3,Spring,Zone B,Flounder,Herring
5.5,Winter,Zone A,Cod,Redfish
21.7,Summer,Zone C,Mackerel,Pollock
15.4,Fall,Zone B,Atlantic Salmon,Sea Bass
12.2,Fall,Zone A,Halibut,Atlantic Salmon
18.5,Summer,Zone B,Haddock,Pollock
9.7,Winter,Zone A,Smelt,Cod
13.6,Fall,Zone A,Sea Bass,Atlantic Salmon
16.9,Spring,Zone B,Cod,Herring
13.4,Fall,Zone A,Halibut,Sea Bass
9.2,Winter,Zone A,Cod,Redfish
8.3,Winter,Zone A,Smelt,Cod
20.4,Summer,Zone C,Mackerel,Pollock
15.0,Spring,Zone B,Herring,Cod
14.6,Fall,Zone A,Atlantic Salmon,Sea Bass
17.8,Spring,Zone B,Herring,Cod
15.7,Spring,Zone B,Cod,Herring
9.4,Winter,Zone A,Redfish,Smelt
12.9,Spring,Zone A,Cod,Flounder
23.1,Summer,Zone C,Haddock,Mackerel
14.0,Fall,Zone A,Halibut,Atlantic Salmon
22.9,Summer,Zone C,Pollock,Haddock
9.7,Winter,Zone A,Cod,Smelt
10.9,Spring,Zone A,Herring,Cod
23.9,Summer,Zone C,Mackerel,Pollock
15.1,Fall,Zone B,Atlantic Salmon,Halibut
17.3,Spring,Zone B,Flounder,Cod
19.0,Summer,Zone B,Haddock,Mackerel
6.2,Winter,Zone A,Redfish,Smelt
13.9,Spring,Zone A,Flounder,Herring
16.2,Fall,Zone B,Sea Bass,Atlantic Salmon
15.1,Fall,Zone B,Atlantic Salmon,Sea Bass
12.0,Spring,Zone A,Cod,Herring
13.0,Spring,Zone A,Flounder,Cod
17.9,Spring,Zone B,Herring,Cod
12.2,Fall,Zone A,Atlantic Salmon,Sea Bass
14.9,Fall,Zone A,Atlantic Salmon,Sea Bass
6.7,Winter,Zone A,Redfish,Cod
13.6,Spring,Zone A,Herring,Cod
6.9,Winter,Zone A,Smelt,Redfish
24.6,Summer,Zone C,Mackerel,Haddock
14.7,Spring,Zone A,Herring,Flounder
13.9,Fall,Zone A,Halibut,Atlantic Salmon
19.6,Summer,Zone B,Pollock,Mackerel
16.3,Fall,Zone B,Sea Bass,Atlantic Salmon
8.9,Winter,Zone A,Cod,Smelt
12.7,Spring,Zone A,Flounder,Cod
20.6,Summer,Zone C,Haddock,Mackerel
16.6,Spring,Zone B,Herring,Flounder
19.7,Fall,Zone B,Halibut,Sea Bass
22.9,Summer,Zone C,Mackerel,Pollock
10.7,Spring,Zone A,Herring,Flounder
10.1,Spring,Zone A,Herring,Cod
23.0,Summer,Zone C,Pollock,Mackerel
9.4,Winter,Zone A,Redfish,Cod
16.3,Fall,Zone B,Halibut,Sea Bass
5.6,Winter,Zone A,Smelt,Cod
23.2,Summer,Zone C,Mackerel,Pollock
15.5,Spring,Zone B,Herring,Cod
12.5,Spring,Zone A,Flounder,Cod
24.8,Summer,Zone C,Haddock,Pollock
17.2,Spring,Zone B,Herring,Cod
24.8,Summer,Zone C,Haddock,Pollock
16.3,Fall,Zone B,Sea Bass,Atlantic Salmon
21.4,Summer,Zone C,Mackerel,Pollock
20.4,Summer,Zone C,Mackerel,Pollock
12.6,Fall,Zone A,Halibut,Atlantic Salmon
6.2,Winter,Zone A,Redfish,Cod
15.1,Spring,Zone B,Cod,Herring
13.4,Spring,Zone A,Herring,Flounder
14.4,Spring,Zone A,Flounder,Cod
6.9,Winter,Zone A,Cod,Redfish
16.2,Fall,Zone B,Atlantic Salmon,Sea Bass
24.9,Summer,Zone C,Pollock,Haddock
14.5,Fall,Zone A,Atlantic Salmon,Halibut
22.8,Summer,Zone C,Pollock,Mackerel
15.5,Spring,Zone B,Cod,Flounder
5.1,Winter,Zone A,Cod,Redfish
19.8,Summer,Zone B,Mackerel,Pollock
20.7,Summer,Zone C,Haddock,Mackerel
7.0,Winter,Zone A,Smelt,Cod
24.5,Summer,Zone C,Haddock,Pollock
16.2,Spring,Zone B,Flounder,Herring
11.5,Spring,Zone A,Flounder,Cod
19.2,Fall,Zone B,Atlantic Salmon,Halibut
13.6,Spring,Zone A,Cod,Flounder
24.6,Summer,Zone C,Haddock,Mackerel
14.1,Fall,Zone A,Halibut,Atlantic Salmon
17.0,Spring,Zone B,Cod,Herring
9.1,Winter,Zone A,Smelt,Redfish
7.5,Winter,Zone A,Smelt,Cod
7.5,Winter,Zone A,Smelt,Cod
17.6,Spring,Zone B,Herring,Flounder
19.4,Fall,Zone B,Halibut,Sea Bass
11.6,Spring,Zone A,Herring,Flounder
6.1,Winter,Zone A,Redfish,Smelt
5.3,Winter,Zone A,Smelt,Redfish
24.3,Summer,Zone C,Haddock,Pollock
16.7,Fall,Zone B,Halibut,Sea Bass
15.7,Fall,Zone B,Sea Bass,Atlantic Salmon
8.0,Winter,Zone A,Redfish,Smelt
24.7,Summer,Zone C,Pollock,Haddock
5.0,Winter,Zone A,Smelt,Redfish
11.7,Spring,Zone A,Herring,Cod
13.4,Fall,Zone A,Sea Bass,Halibut
9.9,Winter,Zone A,Smelt,Cod
18.9,Fall,Zone B,Atlantic Salmon,Sea Bass
17.4,Fall,Zone B,Atlantic Salmon,Halibut
13.4,Fall,Zone A,Sea Bass,Atlantic Salmon
19.2,Summer,Zone B,Mackerel,Haddock
13.5,Spring,Zone A,Flounder,Herring
7.0,Winter,Zone A,Cod,Redfish
11.6,Spring,Zone A,Flounder,Herring
6.9,Winter,Zone A,Redfish,Cod
15.1,Fall,Zone B,Sea Bass,Halibut
16.7,Spring,Zone B,Flounder,Herring
15.9,Fall,Zone B,Atlantic Salmon,Halibut
13.5,Fall,Zone A,Atlantic Salmon,Halibut
23.7,Summer,Zone C,Haddock,Mackerel
7.5,Winter,Zone A,Smelt,Redfish
23.2,Summer,Zone C,Pollock,Mackerel
19.6,Summer,Zone B,Pollock,Mackerel
7.4,Winter,Zone A,Cod,Redfish
7.1,Winter,Zone A,Redfish,Smelt
13.2,Spring,Zone A,Flounder,Herring
20.5,Summer,Zone C,Haddock,Mackerel
19.4,Fall,Zone B,Halibut,Sea Bass
11.3,Spring,Zone A,Herring,Flounder
8.3,Winter,Zone A,Redfish,Cod
12.4,Fall,Zone A,Atlantic Salmon,Halibut
13.5,Fall,Zone A,Halibut,Sea Bass
13.9,Fall,Zone A,Halibut,Atlantic Salmon
22.8,Summer,Zone C,Mackerel,Haddock
16.9,Spring,Zone B,Flounder,Cod
15.5,Fall,Zone B,Atlantic Salmon,Halibut
14.6,Spring,Zone A,Herring,Cod
11.3,Spring,Zone A,Herring,Flounder
15.4,Spring,Zone B,Cod,Herring
22.2,Summer,Zone C,Haddock,Mackerel
24.2,Summer,Zone C,Haddock,Mackerel
18.8,Fall,Zone B,Sea Bass,Atlantic Salmon
14.0,Spring,Zone A,Flounder,Cod
21.6,Summer,Zone C,Pollock,Haddock
7.2,Winter,Zone A,Cod,Redfish
20.8,Summer,Zone C,Mackerel,Pollock
17.0,Fall,Zone B,Atlantic Salmon,Sea Bass
12.3,Spring,Zone A,Herring,Flounder
5.2,Winter,Zone A,Smelt,Redfish
4.7,Winter,Zone A,Smelt,Redfish
22.3,Summer,Zone C,Mackerel,Haddock
7.7,Winter,Zone A,Smelt,Redfish
17.3,Fall,Zone B,Sea Bass,Atlantic Salmon
14.0,Spring,Zone A,Cod,Flounder
22.2,Summer,Zone C,Mackerel,Haddock
8.4,Winter,Zone A,Cod,Smelt
22.9,Summer,Zone C,Pollock,Haddock
21.9,Summer,Zone C,Pollock,Mackerel
6.4,Winter,Zone A,Smelt,Cod
9.7,Winter,Zone A,Smelt,Cod
12.2,Spring,Zone A,Flounder,Herring
12.3,Spring,Zone A,Flounder,Cod
15.4,Spring,Zone B,Cod,Herring
7.1,Winter,Zone A,Smelt,Redfish
7.1,Winter,Zone A,Redfish,Cod
6.7,Winter,Zone A,Redfish,Cod
15.9,Fall,Zone B,Atlantic Salmon,Sea Bass
21.1,Summer,Zone C,Pollock,Haddock
17.3,Spring,Zone B,Flounder,Herring
13.7,Fall,Zone A,Sea Bass,Atlantic Salmon
20.0,Summer,Zone B,Haddock,Pollock
22.2,Summer,Zone C,Pollock,Mackerel
16.7,Spring,Zone B,Herring,Flounder
17.6,Fall,Zone B,Halibut,Atlantic Salmon
13.0,Fall,Zone A,Sea Bass,Atlantic Salmon
14.7,Fall,Zone A,Sea Bass,Atlantic Salmon
23.2,Summer,Zone C,Mackerel,Haddock
14.1,Spring,Zone A,Flounder,Herring
15.5,Spring,Zone B,Cod,Flounder
20.0,Summer,Zone B,Haddock,Pollock
23.9,Summer,Zone C,Haddock,Mackerel
13.9,Spring,Zone A,Flounder,Cod
15.9,Fall,Zone B,Sea Bass,Halibut
21.3,Summer,Zone C,Pollock,Haddock
16.8,Fall,Zone B,Atlantic Salmon,Sea Bass
19.4,Summer,Zone B,Haddock,Pollock
21.9,Summer,Zone C,Mackerel,Haddock
24.4,Summer,Zone C,Mackerel,Pollock
19.9,Fall,Zone B,Atlantic Salmon,Halibut
18.7,Fall,Zone B,Atlantic Salmon,Halibut
15.3,Spring,Zone B,Flounder,Herring
22.0,Summer,Zone C,Mackerel,Pollock
6.4,Winter,Zone A,Redfish,Cod
7.8,Winter,Zone A,Cod,Smelt
4.3,Winter,Zone A,Smelt,Cod
8.2,Winter,Zone A,Smelt,Redfish
4.3,Winter,Zone A,Smelt,Cod
12.3,Spring,Zone A,Cod,Flounder
14.7,Spring,Zone A,Herring,Cod
15.8,Spring,Zone B,Cod,Flounder
15.8,Fall,Zone B,Sea Bass,Atlantic Salmon
7.6,Winter,Zone A,Cod,Smelt
9.8,Winter,Zone A,Redfish,Smelt
7.0,Winter,Zone A,Redfish,Smelt
18.6,Fall,Zone B,Halibut,Sea Bass
24.4,Summer,Zone C,Mackerel,Haddock
9.0,Winter,Zone A,Smelt,Redfish
19.1,Summer,Zone B,Mackerel,Haddock
4.8,Winter,Zone A,Cod,Smelt
22.6,Summer,Zone C,Haddock,Pollock
23.1,Summer,Zone C,Pollock,Haddock
6.5,Winter,Zone A,Cod,Smelt
17.7,Fall,Zone B,Halibut,Sea Bass
22.3,Summer,Zone C,Mackerel,Haddock
18.9,Summer,Zone B,Mackerel,Pollock
15.9,Spring,Zone B,Flounder,Cod
14.1,Spring,Zone A,Flounder,Cod
14.6,Fall,Zone A,Sea Bass,Atlantic Salmon
22.1,Summer,Zone C,Haddock,Mackerel
5.8,Winter,Zone A,Redfish,Cod
14.2,Fall,Zone A,Halibut,Atlantic Salmon
18.8,Summer,Zone B,Haddock,Pollock
15.9,Fall,Zone B,Sea Bass,Atlantic Salmon
22.9,Summer,Zone C,Pollock,Haddock
14.8,Spring,Zone A,Flounder,Herring
19.9,Summer,Zone B,Mackerel,Haddock
4.8,Winter,Zone A,Smelt,Redfish
5.2,Winter,Zone A,Redfish,Smelt
24.8,Summer,Zone C,Haddock,Pollock
4.3,Winter,Zone A,Cod,Smelt
21.3,Summer,Zone C,Haddock,Pollock
15.4,Spring,Zone B,Herring,Cod
16.7,Spring,Zone B,Herring,Cod
24.2,Summer,Zone C,Pollock,Mackerel
7.1,Winter,Zone A,Cod,Smelt
11.6,Spring,Zone A,Flounder,Herring
20.1,Summer,Zone C,Pollock,Mackerel
19.3,Summer,Zone B,Haddock,Mackerel
24.1,Summer,Zone C,Pollock,Mackerel
18.9,Fall,Zone B,Sea Bass,Atlantic Salmon
17.4,Fall,Zone B,Halibut,Atlantic Salmon
23.1,Summer,Zone C,Mackerel,Pollock
4.4,Winter,Zone A,Redfish,Cod
13.9,Spring,Zone A,Cod,Herring
15.7,Spring,Zone B,Herring,Cod
15.6,Fall,Zone B,Sea Bass,Halibut
14.7,Spring,Zone A,Cod,Flounder
5.1,Winter,Zone A,Smelt,Redfish
24.5,Summer,Zone C,Haddock,Pollock
18.1,Fall,Zone B,Atlantic Salmon,Halibut
9.0,Winter,Zone A,Cod,Redfish
16.9,Spring,Zone B,Cod,Flounder
15.4,Fall,Zone B,Halibut,Sea Bass
10.3,Spring,Zone A,Herring,Cod
15.5,Spring,Zone B,Herring,Flounder
22.8,Summer,Zone C,Haddock,Mackerel
7.4,Winter,Zone A,Cod,Smelt
11.9,Spring,Zone A,Cod,Herring
24.4,Summer,Zone C,Haddock,Pollock
6.4,Winter,Zone A,Smelt,Cod
9.8,Winter,Zone A,Smelt,Cod
9.0,Winter,Zone A,Smelt,Redfish
14.7,Fall,Zone A,Halibut,Sea Bass
17.1,Fall,Zone B,Atlantic Salmon,Sea Bass
8.6,Winter,Zone A,Cod,Smelt
10.6,Spring,Zone A,Herring,Flounder
14.8,Fall,Zone A,Halibut,Sea Bass
14.4,Spring,Zone A,Flounder,Herring
15.5,Fall,Zone B,Sea Bass,Halibut
17.2,Fall,Zone B,Halibut,Atlantic Salmon
13.7,Spring,Zone A,Flounder,Cod
5.8,Winter,Zone A,Redfish,Smelt
11.8,Spring,Zone A,Cod,Herring
5.9,Winter,Zone A,Cod,Smelt
17.7,Fall,Zone B,Halibut,Atlantic Salmon
4.7,Winter,Zone A,Smelt,Cod
16.7,Fall,Zone B,Halibut,Atlantic Salmon
10.0,Winter,Zone A,Redfish,Cod
14.1,Spring,Zone A,Herring,Flounder
5.0,Winter,Zone A,Cod,Redfish
15.9,Fall,Zone B,Sea Bass,Atlantic Salmon
15.6,Spring,Zone B,Herring,Flounder
13.0,Fall,Zone A,Atlantic Salmon,Halibut
19.5,Summer,Zone B,Mackerel,Pollock
22.5,Summer,Zone C,Haddock,Pollock
7.8,Winter,Zone A,Smelt,Redfish
4.9,Winter,Zone A,Smelt,Redfish
21.8,Summer,Zone C,Pollock,Mackerel
8.2,Winter,Zone A,Cod,Redfish
4.2,Winter,Zone A,Cod,Redfish
7.1,Winter,Zone A,Smelt,Redfish
12.5,Spring,Zone A,Herring,Flounder
22.0,Summer,Zone C,Haddock,Mackerel
22.1,Summer,Zone C,Haddock,Pollock
16.5,Fall,Zone B,Sea Bass,Atlantic Salmon
7.1,Winter,Zone A,Redfish,Smelt
13.9,Fall,Zone A,Atlantic Salmon,Sea Bass
9.8,Winter,Zone A,Redfish,Smelt
22.7,Summer,Zone C,Mackerel,Haddock
18.2,Fall,Zone B,Atlantic Salmon,Sea Bass
18.0,Fall,Zone B,Halibut,Atlantic Salmon
18.8,Summer,Zone B,Mackerel,Pollock
17.5,Fall,Zone B,Halibut,Sea Bass
12.3,Fall,Zone A,Atlantic Salmon,Sea Bass
5.1,Winter,Zone A,Redfish,Cod
10.0,Winter,Zone A,Redfish,Cod
19.1,Summer,Zone B,Pollock,Haddock
23.5,Summer,Zone C,Mackerel,Pollock
22.7,Summer,Zone C,Mackerel,Pollock
8.1,Winter,Zone A,Cod,Redfish
17.2,Fall,Zone B,Sea Bass,Atlantic Salmon
5.8,Winter,Zone A,Cod,Redfish
18.0,Spring,Zone B,Herring,Flounder
16.8,Spring,Zone B,Herring,Flounder
5.9,Winter,Zone A,Smelt,Redfish
15.6,Fall,Zone B,Sea Bass,Halibut
11.9,Spring,Zone A,Flounder,Herring
12.2,Spring,Zone A,Cod,Flounder
19.9,Summer,Zone B,Pollock,Haddock
19.1,Fall,Zone B,Sea Bass,Atlantic Salmon
15.3,Spring,Zone B,Herring,Cod
12.7,Spring,Zone A,Cod,Herring
