temperature_degree_c,season,fishing_zone,fish_species_1,fish_species_2,salinity_psu
18.5,Summer,Zone B,Pollock,Mackerel,32.23
16.8,Fall,Zone B,Halibut,Atlantic Salmon,32.56
13.2,Spring,Zone A,Flounder,Herring,31.57
22.4,Summer,Zone C,Pollock,Haddock,31.55
22.2,Summer,Zone C,Haddock,Mackerel,32.71
14.7,Fall,Zone A,Sea Bass,Atlantic Salmon,32.89
19.0,Summer,Zone B,Haddock,Mackerel,32.7
8.2,Winter,Zone A,Smelt,Cod,32.89
24.7,Summer,Zone C,Mackerel,Haddock,32.72
18.4,Summer,Zone B,Mackerel,Pollock,31.63
5.3,Winter,Zone A,Cod,Smelt,33.78
16.2,Fall,Zone B,Atlantic Salmon,Sea Bass,33.54
16.9,Spring,Zone B,Herring,Flounder,30.91
16.3,Spring,Zone B,Flounder,Cod,31.15
5.2,Winter,Zone A,Redfish,Smelt,33.54
23.1,Summer,Zone C,Mackerel,Pollock,31.84
12.2,Fall,Zone A,Atlantic Salmon,Halibut,31.86
12.0,Spring,Zone A,Herring,Cod,31.68
21.2,Summer,Zone C,Mackerel,Haddock,31.66
15.3,Fall,Zone B,Sea Bass,Atlantic Salmon,32.72
18.5,Fall,Zone B,Sea Bass,Atlantic Salmon,31.87
17.6,Spring,Zone B,Cod,Flounder,32.14
5.1,Winter,Zone A,Cod,Redfish,33.1
12.8,Fall,Zone A,Sea Bass,Atlantic Salmon,32.45
12.9,Fall,Zone A,Sea Bass,Atlantic Salmon,33.01
22.9,Summer,Zone C,Mackerel,Pollock,31.49
7.0,Winter,Zone A,Cod,Smelt,33.51
22.1,Summer,Zone C,Mackerel,Pollock,32.8
10.8,Spring,Zone A,Flounder,Herring,30.91
18.1,Summer,Zone B,Pollock,Haddock,32.44
9.5,Winter,Zone A,Smelt,Redfish,33.4
16.5,Fall,Zone B,Halibut,Atlantic Salmon,32.82
8.5,Winter,Zone A,Smelt,Cod,32.71
18.4,Summer,Zone B,Mackerel,Pollock,31.67
18.8,Summer,Zone B,Pollock,Haddock,32.57
24.5,Summer,Zone C,Mackerel,Haddock,32.17
12.4,Spring,Zone A,Herring,Cod,31.76
7.3,Winter,Zone A,Smelt,Cod,33.56
14.6,Fall,Zone A,Atlantic Salmon,Sea Bass,32.18
21.2,Summer,Zone C,Pollock,Mackerel,32.31
17.4,Fall,Zone B,Halibut,Sea Bass,32.53
16.8,Spring,Zone B,Flounder,Herring,31.05
6.7,Winter,Zone A,Cod,Redfish,34.35
13.9,Spring,Zone A,Flounder,Herring,31.79
20.0,Summer,Zone B,Haddock,Mackerel,31.65
12.8,Fall,Zone A,Halibut,Atlantic Salmon,32.94
18.2,Summer,Zone B,Haddock,Pollock,31.85
7.7,Winter,Zone A,Smelt,Cod,33.76
14.9,Spring,Zone A,Cod,Flounder,32.08
6.4,Winter,Zone A,Cod,Smelt,33.02
23.8,Summer,Zone C,Haddock,Mackerel,32.54
8.2,Winter,Zone A,Cod,Smelt,33.55
17.7,Spring,Zone B,Flounder,Cod,31.78
6.3,Winter,Zone A,Smelt,Redfish,34.38
16.7,Spring,Zone B,Flounder,Herring,31.29
17.6,Fall,Zone B,Halibut,Sea Bass,31.99
19.9,Summer,Zone B,Pollock,Haddock,31.81
13.2,Spring,Zone A,Flounder,Herring,31.18
6.6,Winter,Zone A,Cod,Smelt,33.38
18.8,Summer,Zone B,Haddock,Pollock,32.48
10.4,Spring,Zone A,Flounder,Herring,31.87
10.9,Spring,Zone A,Flounder,Herring,32.12
20.6,Summer,Zone C,Mackerel,Haddock,32.23
18.7,Fall,Zone B,Halibut,Atlantic Salmon,33.04
17.1,Spring,Zone B,Flounder,Cod,31.26
17.3,Fall,Zone B,Halibut,Atlantic Salmon,33.75
10.3,Spring,Zone A,Flounder,Cod,32.05
20.0,Fall,Zone B,Halibut,Atlantic Salmon,31.82
6.6,Winter,Zone A,Redfish,Cod,32.88
19.7,Fall,Zone B,Halibut,Sea Bass,32.51
7.9,Winter,Zone A,Cod,Smelt,33.24
22.7,Summer,Zone C,Haddock,Mackerel,32.47
8.3,Winter,Zone A,Smelt,Cod,33.57
17.3,Spring,Zone B,Cod,Herring,31.35
13.6,Spring,Zone A,Cod,Herring,31.15
7.2,Winter,Zone A,Cod,Smelt,32.63
12.3,Fall,Zone A,Halibut,Atlantic Salmon,32.41
8.1,Winter,Zone A,Redfish,Cod,33.77
12.3,Fall,Zone A,Sea Bass,Atlantic Salmon,32.74
19.1,Summer,Zone B,Pollock,Haddock,31.67
5.2,Winter,Zone A,Cod,Smelt,33.58
15.2,Fall,Zone B,Halibut,Atlantic Salmon,32.68
19.1,Fall,Zone B,Sea Bass,Halibut,31.85
22.4,Summer,Zone C,Pollock,Mackerel,32.21
12.5,Spring,Zone A,Flounder,Herring,31.65
18.1,Summer,Zone B,Mackerel,Pollock,31.77
13.9,Spring,Zone A,Herring,Cod,31.73
25.0,Summer,Zone C,Haddock,Pollock,32.28
4.7,Winter,Zone A,Smelt,Cod,34.06
15.1,Fall,Zone B,Sea Bass,Halibut,33.02
20.9,Summer,Zone C,Pollock,Mackerel,31.52
12.9,Fall,Zone A,Halibut,Sea Bass,32.14
22.1,Summer,Zone C,Haddock,Mackerel,32.4
19.9,Fall,Zone B,Sea Bass,Atlantic Salmon,32.51
14.9,Spring,Zone A,Herring,Flounder,31.76
13.4,Fall,Zone A,Sea Bass,Atlantic Salmon,34.51
22.3,Summer,Zone C,Mackerel,Haddock,32.42
5.5,Winter,Zone A,Smelt,Redfish,34.04
15.5,Fall,Zone B,Sea Bass,Atlantic Salmon,32.95
23.0,Summer,Zone C,Mackerel,Pollock,32.43
23.9,Summer,Zone C,Pollock,Haddock,31.9
18.3,Fall,Zone B,Atlantic Salmon,Halibut,32.71
12.4,Spring,Zone A,Herring,Flounder,31.24
19.3,Fall,Zone B,Sea Bass,Atlantic Salmon,32.17
18.1,Fall,Zone B,Sea Bass,Halibut,32.1
19.6,Fall,Zone B,Halibut,Atlantic Salmon,32.31
19.4,Fall,Zone B,Atlantic Salmon,Sea Bass,33.44
4.9,Winter,Zone A,Cod,Redfish,32.57
13.5,Spring,Zone A,Cod,Herring,31.92
8.6,Winter,Zone A,Cod,Redfish,32.51
23.9,Summer,Zone C,Haddock,Mackerel,31.82
24.8,Summer,Zone C,Mackerel,Pollock,32.55
19.8,Summer,Zone B,Pollock,Mackerel,32.29
19.2,Summer,Zone B,Mackerel,Haddock,31.75
13.0,Spring,Zone A,Cod,Flounder,31.24
18.4,Fall,Zone B,Atlantic Salmon,Sea Bass,32.67
19.8,Fall,Zone B,Halibut,Sea Bass,31.89
12.2,Fall,Zone A,Atlantic Salmon,Halibut,32.75
12.3,Fall,Zone A,Atlantic Salmon,Sea Bass,32.66
14.1,Fall,Zone A,Atlantic Salmon,Sea Bass,32.22
8.9,Winter,Zone A,Redfish,Smelt,34.38
9.7,Winter,Zone A,Cod,Smelt,33.58
22.1,Summer,Zone C,Mackerel,Pollock,31.13
12.2,Spring,Zone A,Flounder,Cod,31.73
19.0,Summer,Zone B,Pollock,Mackerel,31.97
16.4,Spring,Zone B,Flounder,Herring,31.86
24.7,Summer,Zone C,Pollock,Haddock,31.62
14.3,Fall,Zone A,Halibut,Atlantic Salmon,32.48
20.1,Summer,Zone C,Mackerel,Haddock,32.5
17.2,Spring,Zone B,Herring,Cod,31.82
13.9,Spring,Zone A,Cod,Herring,30.95
17.4,Fall,Zone B,Sea Bass,Atlantic Salmon,32.21
5.9,Winter,Zone A,Redfish,Cod,33.22
10.3,Spring,Zone A,Cod,Herring,31.41
4.3,Winter,Zone A,Smelt,Cod,34.42
18.4,Summer,Zone B,Mackerel,Haddock,32.53
13.1,Spring,Zone A,Cod,Herring,30.96
21.5,Summer,Zone C,Mackerel,Pollock,32.63
12.4,Spring,Zone A,Herring,Cod,32.69
15.8,Spring,Zone B,Cod,Herring,31.98
14.7,Fall,Zone A,Sea Bass,Atlantic Salmon,31.76
14.3,Fall,Zone A,Sea Bass,Atlantic Salmon,32.29
18.9,Fall,Zone B,Atlantic Salmon,Sea Bass,32.94
7.2,Winter,Zone A,Redfish,Smelt,33.04
9.9,Winter,Zone A,Redfish,Cod,33.48
17.5,Spring,Zone B,Flounder,Cod,31.76
15.3,Spring,Zone B,Flounder,Herring,31.02
5.5,Winter,Zone A,Cod,Redfish,33.45
21.7,Summer,Zone C,Mackerel,Pollock,30.54
15.4,Fall,Zone B,Atlantic Salmon,Sea Bass,31.97
12.2,Fall,Zone A,Halibut,Atlantic Salmon,32.51
18.5,Summer,Zone B,Haddock,Pollock,31.7
9.7,Winter,Zone A,Smelt,Cod,34.08
13.6,Fall,Zone A,Sea Bass,Atlantic Salmon,31.85
16.9,Spring,Zone B,Cod,Herring,31.18
13.4,Fall,Zone A,Halibut,Sea Bass,32.65
9.2,Winter,Zone A,Cod,Redfish,34.01
8.3,Winter,Zone A,Smelt,Cod,32.62
20.4,Summer,Zone C,Mackerel,Pollock,32.81
15.0,Spring,Zone B,Herring,Cod,31.51
14.6,Fall,Zone A,Atlantic Salmon,Sea Bass,32.03
17.8,Spring,Zone B,Herring,Cod,31.59
15.7,Spring,Zone B,Cod,Herring,31.56
9.4,Winter,Zone A,Redfish,Smelt,32.98
12.9,Spring,Zone A,Cod,Flounder,31.64
23.1,Summer,Zone C,Haddock,Mackerel,31.9
14.0,Fall,Zone A,Halibut,Atlantic Salmon,32.61
22.9,Summer,Zone C,Pollock,Haddock,32.44
9.7,Winter,Zone A,Cod,Smelt,34.06
10.9,Spring,Zone A,Herring,Cod,31.09
23.9,Summer,Zone C,Mackerel,Pollock,33.12
15.1,Fall,Zone B,Atlantic Salmon,Halibut,31.52
17.3,Spring,Zone B,Flounder,Cod,31.31
19.0,Summer,Zone B,Haddock,Mackerel,32.59
6.2,Winter,Zone A,Redfish,Smelt,33.58
13.9,Spring,Zone A,Flounder,Herring,31.24
16.2,Fall,Zone B,Sea Bass,Atlantic Salmon,32.34
15.1,Fall,Zone B,Atlantic Salmon,Sea Bass,32.25
12.0,Spring,Zone A,Cod,Herring,31.36
13.0,Spring,Zone A,Flounder,Cod,32.02
17.9,Spring,Zone B,Herring,Cod,31.53
12.2,Fall,Zone A,Atlantic Salmon,Sea Bass,32.29
14.9,Fall,Zone A,Atlantic Salmon,Sea Bass,32.95
6.7,Winter,Zone A,Redfish,Cod,33.57
13.6,Spring,Zone A,Herring,Cod,31.98
6.9,Winter,Zone A,Smelt,Redfish,33.72
24.6,Summer,Zone C,Mackerel,Haddock,31.61
14.7,Spring,Zone A,Herring,Flounder,31.23
13.9,Fall,Zone A,Halibut,Atlantic Salmon,32.93
19.6,Summer,Zone B,Pollock,Mackerel,32.58
16.3,Fall,Zone B,Sea Bass,Atlantic Salmon,32.42
8.9,Winter,Zone A,Cod,Smelt,33.36
12.7,Spring,Zone A,Flounder,Cod,32.25
20.6,Summer,Zone C,Haddock,Mackerel,31.92
16.6,Spring,Zone B,Herring,Flounder,31.69
19.7,Fall,Zone B,Halibut,Sea Bass,32.16
22.9,Summer,Zone C,Mackerel,Pollock,32.0
10.7,Spring,Zone A,Herring,Flounder,32.26
10.1,Spring,Zone A,Herring,Cod,32.16
23.0,Summer,Zone C,Pollock,Mackerel,32.51
9.4,Winter,Zone A,Redfish,Cod,33.93
16.3,Fall,Zone B,Halibut,Sea Bass,32.45
5.6,Winter,Zone A,Smelt,Cod,33.81
23.2,Summer,Zone C,Mackerel,Pollock,31.93
15.5,Spring,Zone B,Herring,Cod,31.64
12.5,Spring,Zone A,Flounder,Cod,31.56
24.8,Summer,Zone C,Haddock,Pollock,32.06
17.2,Spring,Zone B,Herring,Cod,31.69
24.8,Summer,Zone C,Haddock,Pollock,31.6
16.3,Fall,Zone B,Sea Bass,Atlantic Salmon,33.48
21.4,Summer,Zone C,Mackerel,Pollock,31.68
20.4,Summer,Zone C,Mackerel,Pollock,31.62
12.6,Fall,Zone A,Halibut,Atlantic Salmon,33.2
6.2,Winter,Zone A,Redfish,Cod,33.84
15.1,Spring,Zone B,Cod,Herring,31.81
13.4,Spring,Zone A,Herring,Flounder,31.89
14.4,Spring,Zone A,Flounder,Cod,31.52
6.9,Winter,Zone A,Cod,Redfish,32.96
16.2,Fall,Zone B,Atlantic Salmon,Sea Bass,32.48
24.9,Summer,Zone C,Pollock,Haddock,31.67
14.5,Fall,Zone A,Atlantic Salmon,Halibut,33.01
22.8,Summer,Zone C,Pollock,Mackerel,32.04
15.5,Spring,Zone B,Cod,Flounder,31.06
5.1,Winter,Zone A,Cod,Redfish,33.33
19.8,Summer,Zone B,Mackerel,Pollock,32.47
20.7,Summer,Zone C,Haddock,Mackerel,31.93
7.0,Winter,Zone A,Smelt,Cod,32.99
24.5,Summer,Zone C,Haddock,Pollock,32.15
16.2,Spring,Zone B,Flounder,Herring,31.56
11.5,Spring,Zone A,Flounder,Cod,31.42
19.2,Fall,Zone B,Atlantic Salmon,Halibut,32.05
13.6,Spring,Zone A,Cod,Flounder,31.69
24.6,Summer,Zone C,Haddock,Mackerel,31.3
14.1,Fall,Zone A,Halibut,Atlantic Salmon,31.84
17.0,Spring,Zone B,Cod,Herring,31.04
9.1,Winter,Zone A,Smelt,Redfish,33.19
7.5,Winter,Zone A,Smelt,Cod,33.53
7.5,Winter,Zone A,Smelt,Cod,34.11
17.6,Spring,Zone B,Herring,Flounder,31.8
19.4,Fall,Zone B,Halibut,Sea Bass,32.2
11.6,Spring,Zone A,Herring,Flounder,31.66
6.1,Winter,Zone A,Redfish,Smelt,32.94
5.3,Winter,Zone A,Smelt,Redfish,33.48
24.3,Summer,Zone C,Haddock,Pollock,31.89
16.7,Fall,Zone B,Halibut,Sea Bass,32.58
15.7,Fall,Zone B,Sea Bass,Atlantic Salmon,32.05
8.0,Winter,Zone A,Redfish,Smelt,33.61
24.7,Summer,Zone C,Pollock,Haddock,32.78
5.0,Winter,Zone A,Smelt,Redfish,33.45
11.7,Spring,Zone A,Herring,Cod,31.87
13.4,Fall,Zone A,Sea Bass,Halibut,32.93
9.9,Winter,Zone A,Smelt,Cod,33.05
18.9,Fall,Zone B,Atlantic Salmon,Sea Bass,32.42
17.4,Fall,Zone B,Atlantic Salmon,Halibut,32.39
13.4,Fall,Zone A,Sea Bass,Atlantic Salmon,32.63
19.2,Summer,Zone B,Mackerel,Haddock,31.9
13.5,Spring,Zone A,Flounder,Herring,31.59
7.0,Winter,Zone A,Cod,Redfish,33.65
11.6,Spring,Zone A,Flounder,Herring,32.4
6.9,Winter,Zone A,Redfish,Cod,33.88
15.1,Fall,Zone B,Sea Bass,Halibut,33.57
16.7,Spring,Zone B,Flounder,Herring,31.03
15.9,Fall,Zone B,Atlantic Salmon,Halibut,32.89
13.5,Fall,Zone A,Atlantic Salmon,Halibut,32.67
23.7,Summer,Zone C,Haddock,Mackerel,33.16
7.5,Winter,Zone A,Smelt,Redfish,32.97
23.2,Summer,Zone C,Pollock,Mackerel,31.67
19.6,Summer,Zone B,Pollock,Mackerel,31.97
7.4,Winter,Zone A,Cod,Redfish,32.32
7.1,Winter,Zone A,Redfish,Smelt,33.13
13.2,Spring,Zone A,Flounder,Herring,31.21
20.5,Summer,Zone C,Haddock,Mackerel,32.3
19.4,Fall,Zone B,Halibut,Sea Bass,32.45
11.3,Spring,Zone A,Herring,Flounder,32.62
8.3,Winter,Zone A,Redfish,Cod,33.81
12.4,Fall,Zone A,Atlantic Salmon,Halibut,32.34
13.5,Fall,Zone A,Halibut,Sea Bass,32.13
13.9,Fall,Zone A,Halibut,Atlantic Salmon,32.8
22.8,Summer,Zone C,Mackerel,Haddock,31.45
16.9,Spring,Zone B,Flounder,Cod,32.32
15.5,Fall,Zone B,Atlantic Salmon,Halibut,33.06
14.6,Spring,Zone A,Herring,Cod,31.29
11.3,Spring,Zone A,Herring,Flounder,30.83
15.4,Spring,Zone B,Cod,Herring,32.16
22.2,Summer,Zone C,Haddock,Mackerel,32.08
24.2,Summer,Zone C,Haddock,Mackerel,32.66
18.8,Fall,Zone B,Sea Bass,Atlantic Salmon,31.51
14.0,Spring,Zone A,Flounder,Cod,31.25
21.6,Summer,Zone C,Pollock,Haddock,32.17
7.2,Winter,Zone A,Cod,Redfish,33.41
20.8,Summer,Zone C,Mackerel,Pollock,31.98
17.0,Fall,Zone B,Atlantic Salmon,Sea Bass,32.71
12.3,Spring,Zone A,Herring,Flounder,31.1
5.2,Winter,Zone A,Smelt,Redfish,33.42
4.7,Winter,Zone A,Smelt,Redfish,33.58
22.3,Summer,Zone C,Mackerel,Haddock,32.39
7.7,Winter,Zone A,Smelt,Redfish,33.72
17.3,Fall,Zone B,Sea Bass,Atlantic Salmon,31.82
14.0,Spring,Zone A,Cod,Flounder,30.78
22.2,Summer,Zone C,Mackerel,Haddock,32.78
8.4,Winter,Zone A,Cod,Smelt,33.5
22.9,Summer,Zone C,Pollock,Haddock,31.73
21.9,Summer,Zone C,Pollock,Mackerel,32.93
6.4,Winter,Zone A,Smelt,Cod,33.49
9.7,Winter,Zone A,Smelt,Cod,33.85
12.2,Spring,Zone A,Flounder,Herring,31.67
12.3,Spring,Zone A,Flounder,Cod,32.67
15.4,Spring,Zone B,Cod,Herring,32.36
7.1,Winter,Zone A,Smelt,Redfish,33.27
7.1,Winter,Zone A,Redfish,Cod,33.88
6.7,Winter,Zone A,Redfish,Cod,33.74
15.9,Fall,Zone B,Atlantic Salmon,Sea Bass,33.14
21.1,Summer,Zone C,Pollock,Haddock,31.71
17.3,Spring,Zone B,Flounder,Herring,31.73
13.7,Fall,Zone A,Sea Bass,Atlantic Salmon,33.09
20.0,Summer,Zone B,Haddock,Pollock,31.37
22.2,Summer,Zone C,Pollock,Mackerel,31.55
16.7,Spring,Zone B,Herring,Flounder,30.4
17.6,Fall,Zone B,Halibut,Atlantic Salmon,32.24
13.0,Fall,Zone A,Sea Bass,Atlantic Salmon,32.96
14.7,Fall,Zone A,Sea Bass,Atlantic Salmon,33.27
23.2,Summer,Zone C,Mackerel,Haddock,32.13
14.1,Spring,Zone A,Flounder,Herring,32.36
15.5,Spring,Zone B,Cod,Flounder,30.78
20.0,Summer,Zone B,Haddock,Pollock,31.4
23.9,Summer,Zone C,Haddock,Mackerel,32.03
13.9,Spring,Zone A,Flounder,Cod,31.75
15.9,Fall,Zone B,Sea Bass,Halibut,32.44
21.3,Summer,Zone C,Pollock,Haddock,31.15
16.8,Fall,Zone B,Atlantic Salmon,Sea Bass,32.37
19.4,Summer,Zone B,Haddock,Pollock,31.63
21.9,Summer,Zone C,Mackerel,Haddock,32.49
24.4,Summer,Zone C,Mackerel,Pollock,32.21
19.9,Fall,Zone B,Atlantic Salmon,Halibut,31.79
18.7,Fall,Zone B,Atlantic Salmon,Halibut,32.06
15.3,Spring,Zone B,Flounder,Herring,30.96
22.0,Summer,Zone C,Mackerel,Pollock,32.12
6.4,Winter,Zone A,Redfish,Cod,33.91
7.8,Winter,Zone A,Cod,Smelt,32.87
4.3,Winter,Zone A,Smelt,Cod,33.79
8.2,Winter,Zone A,Smelt,Redfish,33.07
4.3,Winter,Zone A,Smelt,Cod,33.14
12.3,Spring,Zone A,Cod,Flounder,31.58
14.7,Spring,Zone A,Herring,Cod,31.0
15.8,Spring,Zone B,Cod,Flounder,31.18
15.8,Fall,Zone B,Sea Bass,Atlantic Salmon,31.86
7.6,Winter,Zone A,Cod,Smelt,34.35
9.8,Winter,Zone A,Redfish,Smelt,33.28
7.0,Winter,Zone A,Redfish,Smelt,33.05
18.6,Fall,Zone B,Halibut,Sea Bass,32.43
24.4,Summer,Zone C,Mackerel,Haddock,31.97
9.0,Winter,Zone A,Smelt,Redfish,33.19
19.1,Summer,Zone B,Mackerel,Haddock,32.6
4.8,Winter,Zone A,Cod,Smelt,33.89
22.6,Summer,Zone C,Haddock,Pollock,31.85
23.1,Summer,Zone C,Pollock,Haddock,31.81
6.5,Winter,Zone A,Cod,Smelt,33.29
17.7,Fall,Zone B,Halibut,Sea Bass,31.21
22.3,Summer,Zone C,Mackerel,Haddock,31.38
18.9,Summer,Zone B,Mackerel,Pollock,32.99
15.9,Spring,Zone B,Flounder,Cod,32.28
14.1,Spring,Zone A,Flounder,Cod,31.42
14.6,Fall,Zone A,Sea Bass,Atlantic Salmon,32.81
22.1,Summer,Zone C,Haddock,Mackerel,32.3
5.8,Winter,Zone A,Redfish,Cod,35.0
14.2,Fall,Zone A,Halibut,Atlantic Salmon,33.1
18.8,Summer,Zone B,Haddock,Pollock,32.25
15.9,Fall,Zone B,Sea Bass,Atlantic Salmon,31.98
22.9,Summer,Zone C,Pollock,Haddock,31.3
14.8,Spring,Zone A,Flounder,Herring,31.61
19.9,Summer,Zone B,Mackerel,Haddock,31.88
4.8,Winter,Zone A,Smelt,Redfish,32.8
5.2,Winter,Zone A,Redfish,Smelt,33.17
24.8,Summer,Zone C,Haddock,Pollock,31.47
4.3,Winter,Zone A,Cod,Smelt,34.38
21.3,Summer,Zone C,Haddock,Pollock,32.63
15.4,Spring,Zone B,Herring,Cod,31.48
16.7,Spring,Zone B,Herring,Cod,32.15
24.2,Summer,Zone C,Pollock,Mackerel,32.08
7.1,Winter,Zone A,Cod,Smelt,32.96
11.6,Spring,Zone A,Flounder,Herring,32.43
20.1,Summer,Zone C,Pollock,Mackerel,32.51
19.3,Summer,Zone B,Haddock,Mackerel,31.77
24.1,Summer,Zone C,Pollock,Mackerel,31.95
